Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,15-12-2023,CUST0001,Male,25,Groceries,1,100,100
2,03-08-2023,CUST0001,Male,28,Groceries,4,150,600
3,30-05-2023,CUST0001,Male,19,Home Decor,2,500,1000
4,11-07-2023,CUST0001,Female,38,Electronics,4,100,400
5,22-01-2023,CUST0001,Male,42,Electronics,3,150,450
6,19-06-2023,CUST0001,Female,45,Home Decor,4,500,2000
7,24-06-2023,CUST0002,Female,20,Groceries,3,250,750
8,25-11-2023,CUST0002,Male,35,Home Decor,1,200,200
9,14-01-2023,CUST0002,Female,26,Clothing,1,100,100
10,06-12-2023,CUST0002,Female,24,Home Decor,1,150,150
11,25-07-2023,CUST0002,Male,53,Clothing,4,200,800
12,02-01-2023,CUST0002,Female,23,Clothing,4,500,2000
13,10-07-2023,CUST0002,Female,43,Home Decor,2,100,200
14,27-09-2023,CUST0002,Male,32,Home Decor,1,500,500
15,27-07-2023,CUST0003,Male,35,Groceries,4,100,400
16,05-08-2023,CUST0003,Female,58,Groceries,3,250,750
17,06-03-2023,CUST0003,Male,24,Electronics,4,50,200
18,16-05-2023,CUST0003,Female,28,Beauty,1,150,150
19,16-10-2023,CUST0003,Male,22,Clothing,3,100,300
20,10-02-2023,CUST0003,Female,24,Electronics,4,200,800
21,02-02-2023,CUST0003,Female,40,Groceries,3,200,600
22,04-02-2023,CUST0004,Male,52,Groceries,3,500,1500
23,11-05-2023,CUST0004,Male,22,Clothing,3,500,1500
24,25-12-2023,CUST0004,Male,26,Clothing,2,200,400
25,28-06-2023,CUST0004,Male,49,Electronics,4,250,1000
26,06-04-2023,CUST0004,Female,47,Groceries,3,250,750
27,23-05-2023,CUST0004,Male,46,Home Decor,1,150,150
28,31-08-2023,CUST0004,Female,45,Clothing,2,250,500
29,03-03-2023,CUST0004,Male,23,Home Decor,4,200,800
30,06-12-2023,CUST0005,Female,28,Clothing,3,200,600
31,19-08-2023,CUST0005,Female,50,Electronics,1,150,150
32,01-05-2023,CUST0005,Female,30,Electronics,3,500,1500
33,17-05-2023,CUST0005,Female,54,Electronics,3,100,300
34,21-06-2023,CUST0005,Female,32,Beauty,2,50,100
35,29-06-2023,CUST0005,Male,29,Clothing,3,50,150
36,23-04-2023,CUST0006,Female,34,Beauty,1,100,100
37,10-05-2023,CUST0006,Female,40,Groceries,4,50,200
38,06-05-2023,CUST0006,Female,43,Home Decor,3,150,450
39,03-07-2023,CUST0006,Male,34,Groceries,4,100,400
40,17-07-2023,CUST0006,Female,28,Electronics,1,200,200
41,06-07-2023,CUST0006,Female,33,Groceries,3,200,600
